instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_str,temp_scaled,atemp_scaled,hum_scaled,windspeed_scaled
1333,2011-02-28,1,0,2,19,0,1,1,Rainy,0.44,0.4394,0.88,0.6119,1,79,80,Springer,1.0731707317073171,0.8788,0.88,0.9132835820895522
1334,2011-02-28,1,0,2,20,0,1,1,Rainy,0.44,0.4394,0.88,0.6119,0,45,45,Springer,1.0731707317073171,0.8788,0.88,0.9132835820895522
1335,2011-02-28,1,0,2,21,0,1,1,Cloudy,0.38,0.3939,0.87,0.3881,2,78,80,Springer,0.9268292682926829,0.7878,0.8699999999999999,0.5792537313432835
1336,2011-02-28,1,0,2,22,0,1,1,Rainy,0.34,0.303,0.93,0.4179,4,72,76,Springer,0.8292682926829269,0.606,0.93,0.623731343283582
1337,2011-02-28,1,0,2,23,0,1,1,Cloudy,0.32,0.2879,0.81,0.3881,0,45,45,Springer,0.7804878048780488,0.5758,0.8100000000000002,0.5792537313432835
1338,2011-03-01,1,0,3,0,0,2,1,Sunny,0.3,0.2727,0.7,0.4627,0,7,7,Springer,0.7317073170731707,0.5454,0.7,0.6905970149253732
1339,2011-03-01,1,0,3,1,0,2,1,Sunny,0.26,0.2273,0.7,0.3582,0,3,3,Springer,0.6341463414634146,0.45459999999999995,0.7,0.5346268656716419
1340,2011-03-01,1,0,3,2,0,2,1,Sunny,0.24,0.2121,0.65,0.3881,0,4,4,Springer,0.5853658536585366,0.4242,0.65,0.5792537313432835
1341,2011-03-01,1,0,3,3,0,2,1,Sunny,0.22,0.2121,0.69,0.2836,0,2,2,Springer,0.5365853658536586,0.4242,0.69,0.42328358208955225
1342,2011-03-01,1,0,3,4,0,2,1,Sunny,0.22,0.2121,0.69,0.2537,0,1,1,Springer,0.5365853658536586,0.4242,0.69,0.37865671641791043
1343,2011-03-01,1,0,3,5,0,2,1,Sunny,0.2,0.1818,0.64,0.2836,1,1,2,Springer,0.4878048780487805,0.3636,0.64,0.42328358208955225
1344,2011-03-01,1,0,3,6,0,2,1,Sunny,0.2,0.1818,0.59,0.2985,0,46,46,Springer,0.4878048780487805,0.3636,0.59,0.4455223880597015
1345,2011-03-01,1,0,3,7,0,2,1,Sunny,0.2,0.1818,0.59,0.3284,2,105,107,Springer,0.4878048780487805,0.3636,0.59,0.49014925373134327
1346,2011-03-01,1,0,3,8,0,2,1,Sunny,0.2,0.1818,0.59,0.3881,10,204,214,Springer,0.4878048780487805,0.3636,0.59,0.5792537313432835
1347,2011-03-01,1,0,3,9,0,2,1,Sunny,0.22,0.197,0.55,0.4179,8,116,124,Springer,0.5365853658536586,0.394,0.55,0.623731343283582
1348,2011-03-01,1,0,3,10,0,2,1,Sunny,0.24,0.2121,0.52,0.2836,13,55,68,Springer,0.5853658536585366,0.4242,0.52,0.42328358208955225
1349,2011-03-01,1,0,3,11,0,2,1,Sunny,0.28,0.2727,0.45,0.2537,8,48,56,Springer,0.6829268292682927,0.5454,0.45000000000000007,0.37865671641791043
1350,2011-03-01,1,0,3,12,0,2,1,Sunny,0.3,0.303,0.39,0.1343,6,80,86,Springer,0.7317073170731707,0.606,0.39,0.20044776119402985
1351,2011-03-01,1,0,3,13,0,2,1,Sunny,0.32,0.3485,0.39,0.0,13,65,78,Springer,0.7804878048780488,0.697,0.39,0.0
1352,2011-03-01,1,0,3,14,0,2,1,Sunny,0.32,0.3333,0.36,0.1343,18,61,79,Springer,0.7804878048780488,0.6666,0.36,0.20044776119402985
1353,2011-03-01,1,0,3,15,0,2,1,Sunny,0.34,0.3636,0.34,0.0,7,57,64,Springer,0.8292682926829269,0.7272,0.34,0.0
1354,2011-03-01,1,0,3,16,0,2,1,Sunny,0.34,0.3485,0.34,0.0896,10,92,102,Springer,0.8292682926829269,0.697,0.34,0.1337313432835821
1355,2011-03-01,1,0,3,17,0,2,1,Sunny,0.34,0.3485,0.34,0.0896,12,230,242,Springer,0.8292682926829269,0.697,0.34,0.1337313432835821
1356,2011-03-01,1,0,3,18,0,2,1,Sunny,0.32,0.3182,0.39,0.194,10,214,224,Springer,0.7804878048780488,0.6364,0.39,0.2895522388059702
1357,2011-03-01,1,0,3,19,0,2,1,Sunny,0.3,0.303,0.49,0.1343,4,115,119,Springer,0.7317073170731707,0.606,0.49,0.20044776119402985
1358,2011-03-01,1,0,3,20,0,2,1,Sunny,0.3,0.3182,0.61,0.0896,2,86,88,Springer,0.7317073170731707,0.6364,0.61,0.1337313432835821
1359,2011-03-01,1,0,3,21,0,2,1,Sunny,0.26,0.303,0.56,0.0,8,55,63,Springer,0.6341463414634146,0.606,0.56,0.0
1360,2011-03-01,1,0,3,22,0,2,1,Sunny,0.24,0.2727,0.62,0.1045,3,44,47,Springer,0.5853658536585366,0.5454,0.62,0.15597014925373134
1361,2011-03-01,1,0,3,23,0,2,1,Sunny,0.24,0.2273,0.65,0.2239,2,23,25,Springer,0.5853658536585366,0.45459999999999995,0.65,0.3341791044776119
1362,2011-03-02,1,0,3,0,0,3,1,Sunny,0.22,0.2273,0.69,0.1642,3,5,8,Springer,0.5365853658536586,0.45459999999999995,0.69,0.24507462686567164
1363,2011-03-02,1,0,3,1,0,3,1,Sunny,0.22,0.2273,0.69,0.194,0,4,4,Springer,0.5365853658536586,0.45459999999999995,0.69,0.2895522388059702
1364,2011-03-02,1,0,3,2,0,3,1,Sunny,0.22,0.2273,0.69,0.194,0,2,2,Springer,0.5365853658536586,0.45459999999999995,0.69,0.2895522388059702
1365,2011-03-02,1,0,3,3,0,3,1,Sunny,0.22,0.2121,0.69,0.2836,3,1,4,Springer,0.5365853658536586,0.4242,0.69,0.42328358208955225
1366,2011-03-02,1,0,3,4,0,3,1,Sunny,0.2,0.2121,0.75,0.1343,1,0,1,Springer,0.4878048780487805,0.4242,0.75,0.20044776119402985
1367,2011-03-02,1,0,3,5,0,3,1,Sunny,0.22,0.2121,0.69,0.2239,0,5,5,Springer,0.5365853658536586,0.4242,0.69,0.3341791044776119
1368,2011-03-02,1,0,3,6,0,3,1,Sunny,0.22,0.2121,0.55,0.2537,1,39,40,Springer,0.5365853658536586,0.4242,0.55,0.37865671641791043
1369,2011-03-02,1,0,3,7,0,3,1,Sunny,0.22,0.2121,0.64,0.2537,2,108,110,Springer,0.5365853658536586,0.4242,0.64,0.37865671641791043
1370,2011-03-02,1,0,3,8,0,3,1,Sunny,0.24,0.2121,0.65,0.2836,13,243,256,Springer,0.5853658536585366,0.4242,0.65,0.42328358208955225
1371,2011-03-02,1,0,3,9,0,3,1,Sunny,0.28,0.2576,0.56,0.2985,7,141,148,Springer,0.6829268292682927,0.5152,0.56,0.4455223880597015
1372,2011-03-02,1,0,3,10,0,3,1,Sunny,0.32,0.303,0.49,0.2836,11,65,76,Springer,0.7804878048780488,0.606,0.49,0.42328358208955225
1373,2011-03-02,1,0,3,11,0,3,1,Sunny,0.34,0.303,0.53,0.3284,8,65,73,Springer,0.8292682926829269,0.606,0.53,0.49014925373134327
1374,2011-03-02,1,0,3,12,0,3,1,Sunny,0.4,0.4091,0.43,0.194,20,62,82,Springer,0.975609756097561,0.8182,0.43,0.2895522388059702
1375,2011-03-02,1,0,3,13,0,3,1,Sunny,0.5,0.4848,0.25,0.0,35,90,125,Springer,1.2195121951219512,0.9696,0.25,0.0
1376,2011-03-02,1,0,3,14,0,3,1,Sunny,0.52,0.5,0.23,0.2985,21,75,96,Springer,1.2682926829268293,1.0,0.22999999999999998,0.4455223880597015
1377,2011-03-02,1,0,3,15,0,3,1,Sunny,0.54,0.5152,0.19,0.4179,19,91,110,Springer,1.3170731707317074,1.0304,0.19,0.623731343283582
1378,2011-03-02,1,0,3,16,0,3,1,Sunny,0.54,0.5152,0.19,0.3284,27,112,139,Springer,1.3170731707317074,1.0304,0.19,0.49014925373134327
1379,2011-03-02,1,0,3,17,0,3,1,Sunny,0.5,0.4848,0.23,0.2836,30,238,268,Springer,1.2195121951219512,0.9696,0.22999999999999998,0.42328358208955225
1380,2011-03-02,1,0,3,18,0,3,1,Sunny,0.46,0.4545,0.23,0.4925,8,193,201,Springer,1.1219512195121952,0.909,0.22999999999999998,0.7350746268656717
1381,2011-03-02,1,0,3,19,0,3,1,Sunny,0.4,0.4091,0.28,0.5224,6,144,150,Springer,0.975609756097561,0.8182,0.28,0.7797014925373134
1382,2011-03-02,1,0,3,20,0,3,1,Sunny,0.36,0.3333,0.29,0.4179,9,86,95,Springer,0.8780487804878048,0.6666,0.29,0.623731343283582
1383,2011-03-02,1,0,3,21,0,3,1,Sunny,0.34,0.2879,0.29,0.4627,3,68,71,Springer,0.8292682926829269,0.5758,0.29,0.6905970149253732
1384,2011-03-02,1,0,3,22,0,3,1,Sunny,0.3,0.2576,0.26,0.5522,4,44,48,Springer,0.7317073170731707,0.5152,0.26,0.824179104477612
1385,2011-03-02,1,0,3,23,0,3,1,Sunny,0.26,0.2121,0.3,0.5224,0,22,22,Springer,0.6341463414634146,0.4242,0.3,0.7797014925373134
1386,2011-03-03,1,0,3,0,0,4,1,Sunny,0.24,0.197,0.3,0.4627,3,10,13,Springer,0.5853658536585366,0.394,0.3,0.6905970149253732
1387,2011-03-03,1,0,3,1,0,4,1,Sunny,0.24,0.197,0.3,0.4627,0,1,1,Springer,0.5853658536585366,0.394,0.3,0.6905970149253732
1388,2011-03-03,1,0,3,2,0,4,1,Sunny,0.2,0.1667,0.27,0.4627,1,2,3,Springer,0.4878048780487805,0.3334,0.27,0.6905970149253732
1389,2011-03-03,1,0,3,3,0,4,1,Sunny,0.2,0.1667,0.27,0.4627,0,1,1,Springer,0.4878048780487805,0.3334,0.27,0.6905970149253732
1390,2011-03-03,1,0,3,4,0,4,1,Sunny,0.16,0.1212,0.31,0.4925,0,1,1,Springer,0.3902439024390244,0.2424,0.31,0.7350746268656717
1391,2011-03-03,1,0,3,5,0,4,1,Sunny,0.14,0.1212,0.33,0.2985,1,7,8,Springer,0.34146341463414637,0.2424,0.33,0.4455223880597015
1392,2011-03-03,1,0,3,6,0,4,1,Sunny,0.14,0.1212,0.33,0.2985,1,34,35,Springer,0.34146341463414637,0.2424,0.33,0.4455223880597015
1393,2011-03-03,1,0,3,7,0,4,1,Sunny,0.12,0.0909,0.42,0.4179,1,110,111,Springer,0.2926829268292683,0.1818,0.42,0.623731343283582
1394,2011-03-03,1,0,3,8,0,4,1,Sunny,0.14,0.1212,0.39,0.2985,4,216,220,Springer,0.34146341463414637,0.2424,0.39,0.4455223880597015
1395,2011-03-03,1,0,3,9,0,4,1,Sunny,0.16,0.1364,0.37,0.2836,10,135,145,Springer,0.3902439024390244,0.2728,0.37,0.42328358208955225
1396,2011-03-03,1,0,3,10,0,4,1,Sunny,0.18,0.1818,0.29,0.194,7,49,56,Springer,0.4390243902439024,0.3636,0.29,0.2895522388059702
1397,2011-03-03,1,0,3,11,0,4,1,Sunny,0.2,0.2273,0.29,0.0896,10,40,50,Springer,0.4878048780487805,0.45459999999999995,0.29,0.1337313432835821
1398,2011-03-03,1,0,3,12,0,4,1,Sunny,0.22,0.2273,0.25,0.1343,7,65,72,Springer,0.5365853658536586,0.45459999999999995,0.25,0.20044776119402985
1399,2011-03-03,1,0,3,13,0,4,1,Sunny,0.22,0.2576,0.25,0.0896,13,67,80,Springer,0.5365853658536586,0.5152,0.25,0.1337313432835821
1400,2011-03-03,1,0,3,14,0,4,1,Sunny,0.24,0.2576,0.21,0.1045,18,60,78,Springer,0.5853658536585366,0.5152,0.21,0.15597014925373134
1401,2011-03-03,1,0,3,15,0,4,1,Sunny,0.24,0.2879,0.23,0.0,6,62,68,Springer,0.5853658536585366,0.5758,0.22999999999999998,0.0
1402,2011-03-03,1,0,3,16,0,4,1,Sunny,0.26,0.303,0.23,0.0,6,65,71,Springer,0.6341463414634146,0.606,0.22999999999999998,0.0
1403,2011-03-03,1,0,3,17,0,4,1,Sunny,0.26,0.303,0.22,0.0,17,185,202,Springer,0.6341463414634146,0.606,0.22,0.0
1404,2011-03-03,1,0,3,18,0,4,1,Sunny,0.24,0.2121,0.35,0.3284,6,161,167,Springer,0.5853658536585366,0.4242,0.35,0.49014925373134327
1405,2011-03-03,1,0,3,19,0,4,1,Sunny,0.2,0.197,0.4,0.2537,5,101,106,Springer,0.4878048780487805,0.394,0.4,0.37865671641791043
1406,2011-03-03,1,0,3,20,0,4,1,Sunny,0.2,0.2273,0.4,0.0896,1,69,70,Springer,0.4878048780487805,0.45459999999999995,0.4,0.1337313432835821
1407,2011-03-03,1,0,3,21,0,4,1,Sunny,0.18,0.2121,0.4,0.1045,3,48,51,Springer,0.4390243902439024,0.4242,0.4,0.15597014925373134
1408,2011-03-03,1,0,3,22,0,4,1,Sunny,0.2,0.2576,0.4,0.0,3,50,53,Springer,0.4878048780487805,0.5152,0.4,0.0
1409,2011-03-03,1,0,3,23,0,4,1,Cloudy,0.18,0.2121,0.43,0.0896,0,23,23,Springer,0.4390243902439024,0.4242,0.43,0.1337313432835821
1410,2011-03-04,1,0,3,0,0,5,1,Cloudy,0.2,0.197,0.55,0.194,0,12,12,Springer,0.4878048780487805,0.394,0.55,0.2895522388059702
1411,2011-03-04,1,0,3,1,0,5,1,Cloudy,0.18,0.1818,0.64,0.194,0,4,4,Springer,0.4390243902439024,0.3636,0.64,0.2895522388059702
1412,2011-03-04,1,0,3,2,0,5,1,Cloudy,0.18,0.1818,0.64,0.194,0,2,2,Springer,0.4390243902439024,0.3636,0.64,0.2895522388059702
1413,2011-03-04,1,0,3,3,0,5,1,Cloudy,0.18,0.1667,0.74,0.2537,0,1,1,Springer,0.4390243902439024,0.3334,0.74,0.37865671641791043
1414,2011-03-04,1,0,3,4,0,5,1,Cloudy,0.18,0.1818,0.74,0.194,1,0,1,Springer,0.4390243902439024,0.3636,0.74,0.2895522388059702
1415,2011-03-04,1,0,3,5,0,5,1,Cloudy,0.16,0.1818,0.74,0.1343,0,7,7,Springer,0.3902439024390244,0.3636,0.74,0.20044776119402985
1416,2011-03-04,1,0,3,6,0,5,1,Cloudy,0.16,0.197,0.74,0.0896,1,28,29,Springer,0.3902439024390244,0.394,0.74,0.1337313432835821
1417,2011-03-04,1,0,3,7,0,5,1,Sunny,0.16,0.1818,0.8,0.1343,0,83,83,Springer,0.3902439024390244,0.3636,0.8,0.20044776119402985
1418,2011-03-04,1,0,3,8,0,5,1,Sunny,0.18,0.197,0.74,0.1343,6,222,228,Springer,0.4390243902439024,0.394,0.74,0.20044776119402985
1419,2011-03-04,1,0,3,9,0,5,1,Sunny,0.22,0.2273,0.6,0.1343,12,138,150,Springer,0.5365853658536586,0.45459999999999995,0.6,0.20044776119402985
1420,2011-03-04,1,0,3,10,0,5,1,Sunny,0.24,0.2273,0.6,0.2537,10,56,66,Springer,0.5853658536585366,0.45459999999999995,0.6,0.37865671641791043
1421,2011-03-04,1,0,3,11,0,5,1,Sunny,0.28,0.2727,0.52,0.2239,16,73,89,Springer,0.6829268292682927,0.5454,0.52,0.3341791044776119
1422,2011-03-04,1,0,3,12,0,5,1,Sunny,0.32,0.303,0.43,0.1642,10,87,97,Springer,0.7804878048780488,0.606,0.43,0.24507462686567164
1423,2011-03-04,1,0,3,13,0,5,1,Sunny,0.34,0.3182,0.42,0.2239,13,74,87,Springer,0.8292682926829269,0.6364,0.42,0.3341791044776119
1424,2011-03-04,1,0,3,14,0,5,1,Sunny,0.36,0.3333,0.4,0.2836,30,65,95,Springer,0.8780487804878048,0.6666,0.4,0.42328358208955225
1425,2011-03-04,1,0,3,15,0,5,1,Sunny,0.36,0.3333,0.4,0.2985,31,75,106,Springer,0.8780487804878048,0.6666,0.4,0.4455223880597015
1426,2011-03-04,1,0,3,16,0,5,1,Sunny,0.36,0.3485,0.46,0.194,17,101,118,Springer,0.8780487804878048,0.697,0.45999999999999996,0.2895522388059702
1427,2011-03-04,1,0,3,17,0,5,1,Cloudy,0.36,0.3333,0.5,0.2537,22,206,228,Springer,0.8780487804878048,0.6666,0.5,0.37865671641791043
1428,2011-03-04,1,0,3,18,0,5,1,Cloudy,0.34,0.303,0.53,0.2985,15,172,187,Springer,0.8292682926829269,0.606,0.53,0.4455223880597015
1429,2011-03-04,1,0,3,19,0,5,1,Sunny,0.32,0.303,0.61,0.2537,5,102,107,Springer,0.7804878048780488,0.606,0.61,0.37865671641791043
1430,2011-03-04,1,0,3,20,0,5,1,Cloudy,0.3,0.2879,0.7,0.194,9,78,87,Springer,0.7317073170731707,0.5758,0.7,0.2895522388059702
1431,2011-03-04,1,0,3,21,0,5,1,Cloudy,0.3,0.2879,0.7,0.2239,6,64,70,Springer,0.7317073170731707,0.5758,0.7,0.3341791044776119
1432,2011-03-04,1,0,3,22,0,5,1,Sunny,0.3,0.2879,0.7,0.194,4,40,44,Springer,0.7317073170731707,0.5758,0.7,0.2895522388059702
1433,2011-03-04,1,0,3,23,0,5,1,Cloudy,0.3,0.303,0.75,0.1642,6,40,46,Springer,0.7317073170731707,0.606,0.75,0.24507462686567164
1434,2011-03-05,1,0,3,0,0,6,0,Cloudy,0.28,0.2879,0.81,0.1045,4,15,19,Springer,0.6829268292682927,0.5758,0.8100000000000002,0.15597014925373134
1435,2011-03-05,1,0,3,1,0,6,0,Cloudy,0.3,0.3182,0.81,0.1045,5,20,25,Springer,0.7317073170731707,0.6364,0.8100000000000002,0.15597014925373134
1436,2011-03-05,1,0,3,2,0,6,0,Cloudy,0.3,0.2879,0.87,0.194,5,15,20,Springer,0.7317073170731707,0.5758,0.8699999999999999,0.2895522388059702
1437,2011-03-05,1,0,3,3,0,6,0,Cloudy,0.3,0.2879,0.87,0.194,0,2,2,Springer,0.7317073170731707,0.5758,0.8699999999999999,0.2895522388059702
1438,2011-03-05,1,0,3,4,0,6,0,Cloudy,0.3,0.303,0.93,0.1642,0,1,1,Springer,0.7317073170731707,0.606,0.93,0.24507462686567164
1439,2011-03-05,1,0,3,5,0,6,0,Cloudy,0.3,0.303,1.0,0.1343,0,3,3,Springer,0.7317073170731707,0.606,1.0,0.20044776119402985
1440,2011-03-05,1,0,3,6,0,6,0,Cloudy,0.3,0.2879,1.0,0.2239,1,3,4,Springer,0.7317073170731707,0.5758,1.0,0.3341791044776119
1441,2011-03-05,1,0,3,7,0,6,0,Cloudy,0.3,0.2727,1.0,0.2985,5,10,15,Springer,0.7317073170731707,0.5454,1.0,0.4455223880597015
1442,2011-03-05,1,0,3,8,0,6,0,Cloudy,0.3,0.2727,1.0,0.2985,11,34,45,Springer,0.7317073170731707,0.5454,1.0,0.4455223880597015
1443,2011-03-05,1,0,3,9,0,6,0,Cloudy,0.32,0.303,0.93,0.2239,15,48,63,Springer,0.7804878048780488,0.606,0.93,0.3341791044776119
1444,2011-03-05,1,0,3,10,0,6,0,Cloudy,0.34,0.3333,0.93,0.194,34,69,103,Springer,0.8292682926829269,0.6666,0.93,0.2895522388059702
1445,2011-03-05,1,0,3,11,0,6,0,Cloudy,0.4,0.4091,0.76,0.2239,43,116,159,Springer,0.975609756097561,0.8182,0.76,0.3341791044776119
1446,2011-03-05,1,0,3,12,0,6,0,Cloudy,0.44,0.4394,0.67,0.2537,46,121,167,Springer,1.0731707317073171,0.8788,0.67,0.37865671641791043
1447,2011-03-05,1,0,3,13,0,6,0,Cloudy,0.46,0.4545,0.67,0.2836,60,130,190,Springer,1.1219512195121952,0.909,0.67,0.42328358208955225
1448,2011-03-05,1,0,3,14,0,6,0,Cloudy,0.48,0.4697,0.59,0.2836,80,118,198,Springer,1.170731707317073,0.9394,0.59,0.42328358208955225
1449,2011-03-05,1,0,3,15,0,6,0,Cloudy,0.46,0.4545,0.63,0.2985,83,122,205,Springer,1.1219512195121952,0.909,0.63,0.4455223880597015
1450,2011-03-05,1,0,3,16,0,6,0,Cloudy,0.48,0.4697,0.59,0.2985,74,130,204,Springer,1.170731707317073,0.9394,0.59,0.4455223880597015
1451,2011-03-05,1,0,3,17,0,6,0,Cloudy,0.48,0.4697,0.59,0.3582,60,104,164,Springer,1.170731707317073,0.9394,0.59,0.5346268656716419
1452,2011-03-05,1,0,3,18,0,6,0,Cloudy,0.48,0.4697,0.59,0.3284,37,115,152,Springer,1.170731707317073,0.9394,0.59,0.49014925373134327
1453,2011-03-05,1,0,3,19,0,6,0,Cloudy,0.46,0.4545,0.67,0.3284,27,62,89,Springer,1.1219512195121952,0.909,0.67,0.49014925373134327
1454,2011-03-05,1,0,3,20,0,6,0,Cloudy,0.44,0.4394,0.77,0.3284,12,58,70,Springer,1.0731707317073171,0.8788,0.77,0.49014925373134327
1455,2011-03-05,1,0,3,21,0,6,0,Cloudy,0.44,0.4394,0.72,0.3284,12,60,72,Springer,1.0731707317073171,0.8788,0.72,0.49014925373134327
1456,2011-03-05,1,0,3,22,0,6,0,Cloudy,0.42,0.4242,0.77,0.2985,16,47,63,Springer,1.024390243902439,0.8484,0.77,0.4455223880597015
1457,2011-03-05,1,0,3,23,0,6,0,Cloudy,0.44,0.4394,0.77,0.2985,10,34,44,Springer,1.0731707317073171,0.8788,0.77,0.4455223880597015
1458,2011-03-06,1,0,3,0,0,0,0,Cloudy,0.42,0.4242,0.77,0.3582,11,41,52,Springer,1.024390243902439,0.8484,0.77,0.5346268656716419
1459,2011-03-06,1,0,3,1,0,0,0,Cloudy,0.42,0.4242,0.77,0.2836,12,27,39,Springer,1.024390243902439,0.8484,0.77,0.42328358208955225
1460,2011-03-06,1,0,3,2,0,0,0,Cloudy,0.4,0.4091,0.82,0.2836,5,27,32,Springer,0.975609756097561,0.8182,0.8199999999999998,0.42328358208955225
1461,2011-03-06,1,0,3,3,0,0,0,Cloudy,0.42,0.4242,0.82,0.2985,2,9,11,Springer,1.024390243902439,0.8484,0.8199999999999998,0.4455223880597015
1462,2011-03-06,1,0,3,4,0,0,0,Cloudy,0.42,0.4242,0.88,0.3582,0,3,3,Springer,1.024390243902439,0.8484,0.88,0.5346268656716419
1463,2011-03-06,1,0,3,6,0,0,0,Cloudy,0.42,0.4242,0.94,0.3582,1,1,2,Springer,1.024390243902439,0.8484,0.9399999999999998,0.5346268656716419
1464,2011-03-06,1,0,3,7,0,0,0,Rainy,0.42,0.4242,1.0,0.4478,0,5,5,Springer,1.024390243902439,0.8484,1.0,0.6683582089552238
1465,2011-03-06,1,0,3,8,0,0,0,Cloudy,0.4,0.4091,1.0,0.2985,1,8,9,Springer,0.975609756097561,0.8182,1.0,0.4455223880597015
1466,2011-03-06,1,0,3,9,0,0,0,Cloudy,0.42,0.4242,1.0,0.2836,4,18,22,Springer,1.024390243902439,0.8484,1.0,0.42328358208955225
1467,2011-03-06,1,0,3,10,0,0,0,Cloudy,0.42,0.4242,1.0,0.2985,4,27,31,Springer,1.024390243902439,0.8484,1.0,0.4455223880597015
1468,2011-03-06,1,0,3,11,0,0,0,Cloudy,0.42,0.4242,1.0,0.2239,18,44,62,Springer,1.024390243902439,0.8484,1.0,0.3341791044776119
1469,2011-03-06,1,0,3,12,0,0,0,Cloudy,0.46,0.4545,0.94,0.3284,10,69,79,Springer,1.1219512195121952,0.909,0.9399999999999998,0.49014925373134327
1470,2011-03-06,1,0,3,13,0,0,0,Cloudy,0.46,0.4545,0.94,0.3582,22,83,105,Springer,1.1219512195121952,0.909,0.9399999999999998,0.5346268656716419
1471,2011-03-06,1,0,3,14,0,0,0,Rainy,0.44,0.4394,1.0,0.2239,12,27,39,Springer,1.0731707317073171,0.8788,1.0,0.3341791044776119
1472,2011-03-06,1,0,3,15,0,0,0,Rainy,0.44,0.4394,1.0,0.2239,3,4,7,Springer,1.0731707317073171,0.8788,1.0,0.3341791044776119
1473,2011-03-06,1,0,3,16,0,0,0,Rainy,0.36,0.3333,1.0,0.2836,3,8,11,Springer,0.8780487804878048,0.6666,1.0,0.42328358208955225
1474,2011-03-06,1,0,3,17,0,0,0,Rainy,0.34,0.303,1.0,0.2985,2,23,25,Springer,0.8292682926829269,0.606,1.0,0.4455223880597015
1475,2011-03-06,1,0,3,18,0,0,0,Rainy,0.32,0.2879,1.0,0.3582,0,23,23,Springer,0.7804878048780488,0.5758,1.0,0.5346268656716419
1476,2011-03-06,1,0,3,19,0,0,0,Rainy,0.3,0.2576,1.0,0.4925,0,11,11,Springer,0.7317073170731707,0.5152,1.0,0.7350746268656717
1477,2011-03-06,1,0,3,20,0,0,0,Rainy,0.28,0.2424,1.0,0.4179,3,8,11,Springer,0.6829268292682927,0.4848,1.0,0.623731343283582
1478,2011-03-06,1,0,3,21,0,0,0,Rainy,0.24,0.1818,0.93,0.6119,1,6,7,Springer,0.5853658536585366,0.3636,0.93,0.9132835820895522
1479,2011-03-06,1,0,3,22,0,0,0,Cloudy,0.22,0.197,1.0,0.3881,0,10,10,Springer,0.5365853658536586,0.394,1.0,0.5792537313432835
1480,2011-03-06,1,0,3,23,0,0,0,Cloudy,0.22,0.197,1.0,0.4179,0,9,9,Springer,0.5365853658536586,0.394,1.0,0.623731343283582
1481,2011-03-07,1,0,3,0,0,1,1,Rainy,0.2,0.1818,1.0,0.3284,0,4,4,Springer,0.4878048780487805,0.3636,1.0,0.49014925373134327
1482,2011-03-07,1,0,3,1,0,1,1,Rainy,0.2,0.1818,1.0,0.3284,0,2,2,Springer,0.4878048780487805,0.3636,1.0,0.49014925373134327
1483,2011-03-07,1,0,3,3,0,1,1,Sunny,0.2,0.1515,0.8,0.5821,0,1,1,Springer,0.4878048780487805,0.303,0.8,0.8688059701492538
1484,2011-03-07,1,0,3,4,0,1,1,Sunny,0.2,0.1515,0.8,0.5224,1,0,1,Springer,0.4878048780487805,0.303,0.8,0.7797014925373134
1485,2011-03-07,1,0,3,5,0,1,1,Sunny,0.2,0.1818,0.75,0.3582,0,1,1,Springer,0.4878048780487805,0.3636,0.75,0.5346268656716419
1486,2011-03-07,1,0,3,6,0,1,1,Sunny,0.2,0.1818,0.75,0.3881,3,31,34,Springer,0.4878048780487805,0.3636,0.75,0.5792537313432835
1487,2011-03-07,1,0,3,7,0,1,1,Sunny,0.2,0.1667,0.75,0.4179,3,88,91,Springer,0.4878048780487805,0.3334,0.75,0.623731343283582
1488,2011-03-07,1,0,3,8,0,1,1,Sunny,0.2,0.1818,0.75,0.3881,11,200,211,Springer,0.4878048780487805,0.3636,0.75,0.5792537313432835
1489,2011-03-07,1,0,3,9,0,1,1,Sunny,0.22,0.1818,0.64,0.4627,5,129,134,Springer,0.5365853658536586,0.3636,0.64,0.6905970149253732
1490,2011-03-07,1,0,3,10,0,1,1,Sunny,0.24,0.2121,0.6,0.2985,15,43,58,Springer,0.5853658536585366,0.4242,0.6,0.4455223880597015
1491,2011-03-07,1,0,3,11,0,1,1,Sunny,0.26,0.2121,0.48,0.4478,19,41,60,Springer,0.6341463414634146,0.4242,0.48,0.6683582089552238
1492,2011-03-07,1,0,3,12,0,1,1,Sunny,0.3,0.2727,0.42,0.4179,28,68,96,Springer,0.7317073170731707,0.5454,0.42,0.623731343283582
1493,2011-03-07,1,0,3,13,0,1,1,Sunny,0.32,0.2879,0.36,0.3881,16,54,70,Springer,0.7804878048780488,0.5758,0.36,0.5792537313432835
1494,2011-03-07,1,0,3,14,0,1,1,Sunny,0.32,0.2879,0.36,0.4179,21,56,77,Springer,0.7804878048780488,0.5758,0.36,0.623731343283582
1495,2011-03-07,1,0,3,15,0,1,1,Sunny,0.34,0.303,0.31,0.3881,32,64,96,Springer,0.8292682926829269,0.606,0.31,0.5792537313432835
1496,2011-03-07,1,0,3,16,0,1,1,Sunny,0.34,0.303,0.31,0.3582,26,96,122,Springer,0.8292682926829269,0.606,0.31,0.5346268656716419
1497,2011-03-07,1,0,3,17,0,1,1,Sunny,0.34,0.303,0.29,0.3582,27,206,233,Springer,0.8292682926829269,0.606,0.29,0.5346268656716419
